 0.00000  100.00000 
 0.00010  118.98066 
 0.22000  117.17100 
 0.22010  130.35705 
 0.44000  128.66486 
 0.44010  139.10561 
 0.66000  137.56640 
 0.66010  146.34311 
 0.88000  144.93531 
 0.88010  152.57747 
 1.10000  151.28791 
 1.10010  158.09794 
 1.32000  156.91280 
 1.32010  163.08174 
 1.54000  161.98777 
 1.54010  167.64495 
 1.76000  166.63006 
 1.76010  171.86773 
 1.98000  170.92154 
 1.98010  175.80809 
 2.20000  174.92151 
 2.20010  174.92116 
 2.42000  174.00031 
 2.42010  173.99999 
 2.64000  173.04258 
 2.64010  173.04228 
