      0.00000      100.000
      0.00010      118.981
      0.22000      117.171
      0.22010      130.357
      0.44000      128.665
      0.44010      139.106
      0.66000      137.566
      0.66010      146.343
      0.88000      144.935
      0.88010      152.577
      1.10000      151.288
      1.10010      158.098
      1.32000      156.913
      1.32010      163.082
      1.54000      161.988
      1.54010      167.645
      1.76000      166.630
      1.76010      171.868
      1.98000      170.921
      1.98010      175.808
      2.20000      174.921
      2.20010      174.921
      2.42000      174.000
      2.42010      174.000
      2.64000      173.042
      2.64010      173.042
